50,1225
0:0,17,34
1:1,17,97
2:17,45,76
3:44,45,23
4:42,44,43
5:42,46,17
6:6,42,78
7:6,9,57
8:9,12,65
9:6,30,3
10:30,41,43
11:30,39,27
12:11,39,44
13:11,24,38
14:24,31,30
15:38,39,29
16:4,38,86
17:4,49,53
18:11,13,32
19:13,19,40
20:19,21,67
21:21,36,23
22:15,36,91
23:13,34,30
24:10,34,64
25:10,26,85
26:26,40,1
27:14,40,31
28:32,34,20
29:34,47,45
30:14,43,29
31:5,26,94
32:16,43,96
33:2,16,91
34:2,8,24
35:3,8,21
36:8,48,92
37:3,35,31
38:3,25,1
39:25,37,81
40:3,29,79
41:20,29,70
42:24,33,25
43:28,34,92
44:22,28,82
45:11,18,50
46:7,40,13
47:19,23,64
48:17,27,46
49:4,24,10
50:15,37,18
51:12,21,21
52:5,43,50
53:11,36,30
54:37,42,99
55:20,35,48
56:20,47,28
57:9,46,57
58:26,47,11
59:2,30,95
60:9,39,71
61:8,40,65
62:12,48,58
63:18,32,17
64:39,48,38
65:36,49,100
66:33,44,30
67:15,31,35
68:5,28,46
69:21,30,17
70:31,35,2
71:1,26,28
72:12,26,85
73:21,48,37
74:25,43,63
75:14,31,59
76:21,43,39
77:5,40,16
78:1,14,96
79:6,12,11
80:16,34,15
81:14,26,67
82:14,36,36
83:1,36,89
84:11,20,87
85:26,32,17
86:5,8,8
87:37,39,78
88:35,46,25
89:24,47,51
90:20,24,90
91:19,47,87
92:0,29,48
93:6,49,13
94:28,44,32
95:12,24,18
96:30,40,63
97:10,29,67
98:2,13,82
99:4,12,65
100:22,23,78
101:5,33,44
102:12,41,19
103:17,46,3
104:3,27,36
105:35,42,47
106:22,41,72
107:30,37,16
108:30,45,10
109:0,31,20
110:1,49,83
111:13,31,95
112:22,33,12
113:0,30,97
114:2,17,19
115:28,42,59
116:13,47,29
117:8,14,98
118:18,24,73
119:22,26,61
120:8,22,53
121:19,45,30
122:34,38,51
123:23,25,6
124:20,45,8
125:1,7,81
126:29,35,25
127:14,33,9
128:30,33,79
129:3,34,48
130:16,25,52
131:8,12,33
132:5,44,7
133:8,23,9
134:13,45,98
135:1,48,68
136:10,21,74
137:34,37,52
138:11,47,93
139:15,47,7
140:6,37,64
141:17,29,97
142:2,36,26
143:5,10,78
144:21,42,59
145:17,47,55
146:16,48,22
147:11,35,64
148:4,20,72
149:11,37,30
150:16,41,87
151:5,32,34
152:11,30,55
153:18,36,47
154:24,40,72
155:5,13,85
156:13,49,83
157:7,12,22
158:5,11,15
159:4,34,82
160:18,33,78
161:5,46,40
162:1,27,25
163:20,49,81
164:21,27,46
165:20,37,14
166:0,43,37
167:15,25,21
168:3,31,36
169:2,19,5
170:11,34,89
171:18,37,75
172:30,35,72
173:12,20,1
174:27,32,52
175:7,18,90
176:13,25,99
177:27,28,22
178:37,46,89
179:1,25,60
180:2,18,29
181:29,40,78
182:1,39,50
183:12,17,20
184:1,33,23
185:24,32,93
186:32,45,63
187:9,33,48
188:20,39,60
189:10,40,93
190:14,41,55
191:9,20,97
192:5,30,8
193:6,8,83
194:6,31,95
195:20,28,65
196:23,45,22
197:0,16,48
198:4,16,70
199:22,24,37
200:10,46,15
201:32,42,17
202:34,35,24
203:6,7,33
204:6,28,32
205:46,47,46
206:5,16,34
207:10,12,34
208:6,40,52
209:24,30,69
210:27,34,80
211:5,37,55
212:14,49,84
213:35,44,96
214:4,11,98
215:18,45,3
216:19,36,48
217:45,49,56
218:1,34,3
219:36,39,42
220:2,37,79
221:3,21,1
222:0,40,40
223:9,32,98
224:0,26,33
225:18,49,55
226:10,36,61
227:13,48,78
228:28,35,65
229:13,26,15
230:3,48,73
231:16,49,92
232:10,44,57
233:13,15,28
234:15,43,86
235:32,40,81
236:19,25,48
237:40,44,42
238:1,16,100
239:0,18,70
240:6,29,10
241:0,14,93
242:4,25,32
243:3,32,72
244:8,25,92
245:15,30,25
246:4,30,23
247:16,28,43
248:1,4,12
249:25,49,33
250:14,23,57
251:2,28,12
252:10,41,98
253:3,46,73
254:6,39,8
255:29,34,46
256:2,12,45
257:8,45,95
258:16,40,24
259:15,48,4
260:17,19,23
261:7,31,19
262:4,32,12
263:13,29,62
264:14,45,35
265:41,42,3
266:11,45,88
267:31,44,14
268:18,39,69
269:6,33,47
270:29,32,18
271:0,36,90
272:42,49,61
273:6,19,80
274:7,20,20
275:37,49,31
276:3,43,58
277:5,22,56
278:18,25,72
279:12,28,36
280:26,37,58
281:0,25,79
282:37,48,100
283:3,10,45
284:7,15,98
285:1,43,53
286:23,42,29
287:9,26,27
288:12,27,24
289:25,27,76
290:8,17,94
291:32,38,75
292:39,44,13
293:8,37,36
294:41,44,9
295:26,42,59
296:17,39,2
297:33,35,77
298:9,45,89
299:20,34,93
300:9,47,22
301:23,33,58
302:27,29,92
303:36,42,86
304:2,44,93
305:27,49,33
306:1,38,37
307:6,26,54
308:19,49,61
309:28,46,47
310:24,25,71
311:0,32,99
312:26,30,58
313:28,45,46
314:23,29,80
315:31,37,51
316:16,38,69
317:8,29,60
318:12,42,96
319:42,45,83
320:7,48,30
321:8,33,32
322:4,22,90
323:7,9,42
324:12,37,74
325:27,31,9
326:2,10,49
327:30,48,76
328:34,39,4
329:15,23,47
330:3,42,81
331:26,38,65
332:18,42,24
333:19,39,47
334:27,44,65
335:4,8,78
336:7,25,34
337:22,36,85
338:28,43,93
339:7,30,99
340:14,25,46
341:18,29,17
342:2,25,45
343:5,34,14
344:24,49,72
345:6,14,39
346:7,26,45
347:6,16,72
348:25,29,83
349:22,48,76
350:27,42,21
351:4,14,57
352:11,22,11
353:19,24,19
354:19,40,48
355:30,31,66
356:21,29,55
357:39,45,24
358:9,10,24
359:32,37,76
360:2,21,3
361:28,36,36
362:29,42,36
363:21,31,88
364:45,48,59
365:18,30,58
366:4,36,91
367:15,39,51
368:16,21,80
369:15,27,75
370:4,13,34
371:1,12,59
372:10,31,72
373:22,42,33
374:0,21,45
375:7,14,99
376:33,40,84
377:47,48,49
378:16,19,88
379:33,41,24
380:3,14,4
381:23,30,35
382:2,47,71
383:13,41,61
384:7,8,91
385:7,41,55
386:17,42,41
387:5,7,11
388:38,44,84
389:45,47,99
390:8,20,34
391:12,16,6
392:10,19,89
393:4,47,25
394:8,9,43
395:9,40,79
396:1,11,50
397:38,45,95
398:16,33,71
399:30,46,56
400:6,22,96
401:6,35,48
402:21,40,20
403:20,25,1
404:6,48,88
405:25,38,93
406:35,40,54
407:40,45,25
408:7,17,98
409:2,7,85
410:15,38,80
411:22,39,68
412:23,40,18
413:9,16,3
414:13,35,8
415:31,34,28
416:0,47,54
417:30,36,99
418:6,21,87
419:23,32,96
420:9,24,92
421:25,33,68
422:1,22,54
423:3,15,28
424:12,35,100
425:21,25,57
426:34,44,33
427:25,26,25
428:31,42,13
429:12,38,54
430:35,36,40
431:39,42,4
432:2,40,4
433:20,48,30
434:36,37,9
435:11,32,14
436:37,38,89
437:0,35,83
438:1,32,35
439:3,49,20
440:26,28,46
441:26,35,2
442:1,37,45
443:21,22,8
444:29,37,64
445:0,13,18
446:35,43,90
447:14,15,60
448:27,30,36
449:15,32,16
450:24,27,77
451:42,48,70
452:6,24,80
453:17,24,65
454:8,28,1
455:22,30,41
456:27,39,38
457:1,41,84
458:17,34,39
459:27,46,72
460:21,41,30
461:24,45,10
462:26,41,37
463:26,43,49
464:14,42,9
465:5,42,80
466:36,40,35
467:36,43,46
468:24,35,72
469:9,14,80
470:14,24,49
471:16,18,68
472:14,22,68
473:28,33,93
474:1,9,95
475:14,27,84
476:2,23,48
477:23,31,45
478:34,49,58
479:36,45,31
480:10,17,46
481:13,20,32
482:28,30,80
483:0,24,96
484:5,21,95
485:0,49,67
486:9,15,55
487:26,44,26
488:43,45,5
489:4,33,75
490:19,31,35
491:25,34,21
492:8,44,98
493:13,42,69
494:12,18,57
495:4,42,95
496:0,3,3
497:10,45,7
498:5,17,77
499:6,36,92
500:17,43,16
501:9,37,53
502:33,38,72
503:0,8,89
504:1,3,96
505:17,48,29
506:8,38,7
507:24,41,23
508:7,22,14
509:27,37,12
510:18,21,27
511:20,41,76
512:25,41,42
513:19,32,7
514:13,27,42
515:31,45,44
516:44,47,37
517:18,19,35
518:17,18,44
519:16,27,57
520:14,29,11
521:29,39,37
522:24,42,71
523:9,18,3
524:10,16,31
525:28,32,29
526:15,20,5
527:18,35,84
528:26,33,54
529:15,28,10
530:16,30,47
531:19,35,37
532:41,47,50
533:12,49,76
534:23,26,16
535:29,44,20
536:15,42,59
537:23,27,62
538:40,46,40
539:0,34,38
540:2,32,95
541:5,20,3
542:23,28,31
543:3,7,70
544:7,33,61
545:10,33,16
546:2,15,94
547:27,36,83
548:41,49,96
549:14,44,87
550:5,35,76
551:9,36,8
552:17,20,58
553:17,49,99
554:12,14,70
555:33,43,56
556:36,48,17
557:18,46,76
558:17,37,29
559:17,23,33
560:7,32,19
561:9,11,50
562:8,13,10
563:13,18,53
564:7,13,66
565:31,39,14
566:31,40,72
567:20,46,27
568:40,43,99
569:8,19,21
570:33,49,54
571:43,47,60
572:0,46,62
573:3,9,38
574:15,19,68
575:37,41,96
576:8,34,72
577:21,32,51
578:39,46,96
579:24,39,24
580:25,48,37
581:4,9,12
582:9,25,90
583:26,29,34
584:18,31,73
585:36,41,80
586:1,45,41
587:10,27,45
588:11,33,71
589:13,37,20
590:19,20,33
591:2,27,99
592:25,39,60
593:28,37,38
594:9,19,97
595:43,46,71
596:5,27,55
597:14,48,19
598:23,36,69
599:25,28,8
600:32,47,53
601:33,39,61
602:15,16,34
603:10,13,26
604:8,18,60
605:16,20,97
606:23,37,35
607:22,44,31
608:26,27,93
609:11,31,9
610:1,46,21
611:13,23,25
612:26,34,95
613:22,43,97
614:2,43,51
615:4,15,58
616:13,43,24
617:25,45,44
618:0,2,50
619:4,45,73
620:25,35,2
621:2,39,14
622:33,36,92
623:34,42,9
624:26,31,22
625:30,34,90
626:25,42,52
627:4,10,88
628:12,33,41
629:17,31,31
630:1,31,71
631:7,37,46
632:10,32,57
633:24,38,39
634:37,47,51
635:3,41,88
636:3,26,49
637:6,47,91
638:26,48,36
639:27,40,16
640:4,46,93
641:8,30,73
642:0,6,87
643:13,39,99
644:34,36,63
645:3,17,24
646:15,40,59
647:39,43,70
648:4,17,14
649:44,46,60
650:12,43,35
651:14,35,82
652:35,48,85
653:39,47,98
654:0,9,99
655:19,48,55
656:0,37,62
657:2,31,23
658:18,47,39
659:16,42,44
660:33,37,45
661:12,45,5
662:16,47,50
663:41,43,41
664:22,40,43
665:0,45,6
666:21,24,13
667:7,46,5
668:25,44,16
669:7,11,38
670:10,25,7
671:23,44,52
672:5,31,5
673:36,46,71
674:6,15,8
675:18,44,53
676:26,39,76
677:0,1,12
678:9,42,10
679:11,38,30
680:15,34,9
681:25,47,87
682:33,46,12
683:33,47,53
684:9,30,81
685:32,44,68
686:8,10,50
687:16,35,1
688:10,35,38
689:9,29,100
690:7,49,59
691:0,12,58
692:4,18,31
693:5,14,91
694:5,41,38
695:7,27,86
696:38,40,76
697:2,20,90
698:9,27,88
699:23,43,10
700:25,31,9
701:3,18,8
702:4,48,23
703:23,38,93
704:19,38,7
705:20,27,24
706:28,47,88
707:22,31,72
708:32,41,40
709:20,44,13
710:15,35,67
711:11,12,92
712:0,5,20
713:2,48,62
714:3,37,3
715:22,38,49
716:28,41,17
717:7,10,4
718:29,47,9
719:1,18,31
720:16,32,8
721:4,41,26
722:4,44,43
723:38,49,23
724:29,31,50
725:37,40,87
726:14,17,34
727:22,29,75
728:29,36,78
729:40,48,60
730:2,14,53
731:2,22,27
732:14,18,30
733:24,36,43
734:35,45,41
735:8,15,93
736:14,16,37
737:19,42,79
738:2,35,61
739:9,41,24
740:12,31,27
741:16,29,54
742:2,49,83
743:43,49,90
744:5,45,47
745:14,47,80
746:5,25,62
747:22,46,43
748:11,17,74
749:11,42,54
750:14,39,76
751:18,28,26
752:2,46,46
753:13,32,80
754:19,34,51
755:33,48,87
756:17,30,63
757:15,26,99
758:14,20,39
759:22,37,74
760:27,35,50
761:12,15,51
762:5,23,91
763:24,44,88
764:16,36,44
765:14,38,97
766:7,24,37
767:4,40,83
768:21,47,9
769:26,36,77
770:26,45,57
771:7,21,17
772:32,46,2
773:29,49,92
774:6,17,42
775:6,38,62
776:9,35,6
777:27,48,53
778:35,39,72
779:35,47,3
780:21,35,68
781:5,48,62
782:10,11,74
783:10,30,40
784:13,36,90
785:37,45,62
786:2,33,92
787:18,40,85
788:0,39,93
789:37,43,65
790:9,28,9
791:29,33,6
792:12,47,73
793:6,10,48
794:8,32,94
795:18,34,8
796:27,41,29
797:0,10,87
798:31,38,55
799:4,21,71
800:12,13,61
801:38,41,49
802:3,5,96
803:16,24,86
804:17,28,48
805:35,41,56
806:3,13,36
807:7,44,78
808:18,48,85
809:20,21,34
810:36,44,90
811:7,19,52
812:13,40,54
813:17,25,72
814:32,33,52
815:33,45,31
816:7,23,26
817:1,47,77
818:11,23,13
819:31,49,86
820:3,12,33
821:9,43,42
822:15,33,20
823:2,26,90
824:28,49,97
825:11,43,66
826:12,30,19
827:5,29,71
828:0,22,53
829:16,46,77
830:25,30,2
831:10,38,14
832:11,25,79
833:21,28,20
834:21,23,48
835:15,46,68
836:10,18,54
837:23,41,92
838:4,23,69
839:8,24,77
840:4,28,15
841:6,23,98
842:14,30,10
843:4,31,95
844:19,46,56
845:23,34,75
846:0,28,86
847:4,35,62
848:24,29,20
849:2,11,20
850:3,22,98
851:31,32,9
852:3,45,10
853:7,36,15
854:31,46,63
855:0,42,64
856:4,7,40
857:15,45,85
858:13,17,57
859:1,10,75
860:16,23,7
861:24,28,23
862:0,33,92
863:6,18,98
864:21,37,33
865:28,48,12
866:28,38,3
867:20,30,70
868:19,26,40
869:30,32,17
870:43,48,52
871:18,23,55
872:21,44,90
873:47,49,58
874:20,32,86
875:12,44,12
876:29,30,51
877:39,40,73
878:20,38,56
879:7,39,5
880:20,22,46
881:3,4,4
882:3,47,31
883:11,28,28
884:13,38,73
885:27,33,54
886:16,44,99
887:8,16,8
888:16,31,88
889:30,47,2
890:12,36,52
891:24,48,58
892:38,47,28
893:21,38,89
894:29,43,39
895:8,31,5
896:5,19,25
897:2,4,24
898:21,46,32
899:6,41,5
900:13,44,77
901:9,22,23
902:22,32,74
903:34,40,57
904:15,24,85
905:23,47,77
906:10,23,54
907:5,49,14
908:1,8,43
909:12,22,96
910:32,43,33
911:19,27,92
912:18,22,94
913:6,11,96
914:25,46,37
915:1,19,85
916:9,17,33
917:17,22,52
918:2,34,84
919:34,41,88
920:19,44,79
921:30,44,12
922:40,47,16
923:43,44,12
924:45,46,63
925:10,15,27
926:23,49,3
927:27,47,98
928:40,41,85
929:13,30,13
930:35,49,99
931:23,39,45
932:14,21,73
933:8,47,18
934:21,26,47
935:9,23,57
936:15,44,72
937:33,42,63
938:7,42,28
939:8,36,38
940:41,45,55
941:3,11,25
942:18,38,22
943:27,45,4
944:20,33,19
945:1,20,36
946:14,28,19
947:5,18,88
948:6,13,11
949:8,35,9
950:31,47,70
951:7,16,70
952:2,9,87
953:1,24,24
954:30,38,26
955:34,45,39
956:3,23,21
957:10,14,1
958:17,40,90
959:18,41,69
960:3,20,52
961:17,41,78
962:7,29,45
963:8,26,73
964:3,40,45
965:13,14,42
966:28,40,47
967:28,39,61
968:16,37,64
969:24,34,21
970:39,49,98
971:1,42,80
972:4,39,71
973:8,21,21
974:40,42,35
975:26,49,83
976:7,28,48
977:10,42,77
978:19,43,89
979:38,46,34
980:1,21,54
981:21,33,92
982:20,42,17
983:23,35,84
984:2,24,26
985:6,44,97
986:41,46,49
987:7,47,97
988:8,46,74
989:31,48,91
990:12,34,34
991:13,16,18
992:8,41,5
993:10,49,24
994:12,40,53
995:11,15,70
996:30,49,81
997:46,49,55
998:1,35,25
999:3,44,7
1000:17,35,7
1001:7,45,26
1002:14,32,79
1003:20,43,23
1004:9,38,85
1005:15,17,70
1006:17,38,96
1007:1,29,35
1008:10,43,67
1009:42,43,42
1010:42,47,28
1011:35,38,95
1012:0,15,63
1013:17,33,59
1014:17,36,76
1015:26,46,20
1016:34,46,18
1017:6,32,68
1018:20,36,25
1019:20,40,34
1020:4,29,49
1021:18,27,4
1022:29,45,65
1023:13,46,45
1024:32,39,58
1025:7,34,65
1026:2,3,87
1027:2,5,32
1028:25,36,72
1029:46,48,56
1030:3,16,2
1031:14,34,5
1032:1,13,46
1033:25,40,63
1034:10,24,100
1035:20,23,64
1036:6,34,58
1037:9,34,21
1038:18,43,97
1039:27,38,71
1040:1,5,31
1041:29,48,8
1042:5,39,47
1043:22,27,47
1044:9,13,29
1045:22,49,81
1046:37,44,96
1047:1,40,33
1048:4,27,69
1049:8,27,47
1050:5,15,95
1051:15,21,48
1052:35,37,14
1053:29,38,30
1054:0,44,77
1055:2,38,74
1056:13,24,54
1057:1,28,8
1058:11,40,12
1059:11,46,26
1060:3,39,79
1061:5,9,79
1062:10,37,54
1063:11,29,42
1064:11,44,25
1065:9,49,75
1066:19,29,99
1067:2,29,75
1068:21,49,64
1069:22,47,1
1070:20,31,81
1071:0,23,11
1072:44,49,64
1073:1,6,66
1074:15,49,90
1075:44,48,49
1076:1,23,69
1077:13,28,97
1078:3,19,89
1079:5,36,47
1080:12,46,26
1081:23,48,45
1082:32,48,62
1083:5,24,73
1084:12,32,46
1085:19,22,87
1086:3,33,50
1087:4,19,86
1088:7,35,9
1089:36,47,26
1090:7,43,86
1091:21,45,1
1092:11,16,1
1093:11,48,54
1094:16,26,65
1095:29,41,95
1096:6,43,32
1097:10,39,43
1098:48,49,46
1099:18,26,63
1100:19,37,15
1101:28,29,60
1102:20,26,65
1103:19,41,55
1104:13,21,46
1105:24,46,96
1106:25,32,25
1107:11,41,74
1108:21,34,55
1109:41,48,77
1110:11,26,79
1111:11,27,15
1112:33,34,25
1113:2,45,83
1114:30,43,22
1115:9,21,1
1116:31,41,4
1117:0,38,12
1118:0,11,82
1119:16,39,32
1120:0,19,11
1121:7,38,10
1122:17,44,3
1123:2,42,1
1124:6,20,39
1125:17,21,11
1126:10,28,71
1127:12,25,22
1128:11,14,75
1129:0,20,69
1130:4,26,12
1131:19,30,73
1132:8,43,70
1133:17,32,5
1134:10,47,9
1135:0,4,3
1136:12,23,68
1137:8,42,31
1138:12,19,17
1139:16,17,41
1140:13,22,10
1141:32,35,83
1142:15,18,2
1143:24,37,39
1144:27,43,69
1145:3,30,35
1146:36,38,31
1147:6,45,38
1148:15,22,46
1149:15,41,53
1150:4,43,83
1151:17,26,60
1152:22,45,43
1153:22,25,69
1154:16,22,27
1155:18,20,45
1156:0,27,64
1157:9,48,40
1158:3,36,75
1159:3,38,33
1160:8,39,27
1161:9,44,36
1162:23,46,38
1163:39,41,33
1164:2,41,18
1165:5,38,12
1166:6,25,1
1167:3,24,40
1168:31,43,44
1169:32,49,10
1170:0,7,53
1171:1,15,39
1172:4,5,58
1173:14,37,68
1174:30,42,93
1175:31,33,53
1176:14,46,72
1177:19,28,85
1178:15,29,62
1179:0,41,34
1180:21,39,61
1181:14,19,94
1182:4,37,82
1183:12,39,78
1184:5,12,71
1185:11,21,98
1186:11,49,36
1187:6,27,34
1188:1,30,37
1189:29,46,98
1190:19,33,66
1191:24,26,98
1192:4,6,42
1193:34,43,17
1194:11,19,95
1195:28,31,42
1196:2,6,35
1197:13,33,12
1198:24,43,16
1199:31,36,20
1200:34,48,33
1201:3,6,50
1202:8,49,61
1203:16,45,8
1204:38,42,8
1205:10,20,20
1206:10,22,77
1207:10,48,48
1208:1,44,5
1209:5,6,24
1210:0,48,18
1211:38,48,85
1212:5,47,95
1213:22,34,35
1214:23,24,71
1215:1,2,66
1216:40,49,14
1217:3,28,97
1218:8,11,32
1219:9,31,40
1220:12,29,13
1221:22,35,77
1222:32,36,84
1223:6,46,63
1224:38,43,69
