TotalWeight: 306
MST:
50,49
197:35,40,1
275:42,47,1
411:27,35,1
142:1,26,2
168:13,26,2
270:9,17,2
324:24,41,2
336:29,35,2
354:3,26,2
360:12,40,2
17:6,10,3
70:26,30,3
96:6,7,3
202:10,32,3
374:30,39,3
490:4,8,3
120:9,18,4
141:44,48,4
167:24,48,4
231:16,18,4
418:9,32,4
461:33,37,4
6:9,25,5
47:4,7,5
59:35,44,5
232:28,49,5
483:6,39,5
117:9,49,6
251:30,35,6
404:8,45,6
417:6,11,6
455:10,15,6
467:45,46,6
89:21,44,7
162:2,21,7
246:25,37,7
257:14,15,7
366:24,34,7
60:5,15,8
84:3,23,9
107:27,38,9
255:42,45,10
474:43,49,11
183:20,49,12
171:24,31,13
310:8,36,16
137:19,48,17
80:22,37,22
402:0,38,24
