50,500
0:0,27,78
1:27,36,99
2:27,47,71
3:16,27,50
4:16,40,94
5:25,40,83
6:9,25,5
7:9,41,90
8:31,41,61
9:16,49,59
10:9,43,34
11:2,31,82
12:18,40,56
13:30,43,94
14:11,18,88
15:11,13,29
16:6,30,56
17:6,10,3
18:6,12,11
19:10,38,14
20:26,38,75
21:20,26,48
22:13,23,45
23:23,35,70
24:28,35,29
25:14,28,55
26:31,46,66
27:15,26,52
28:15,22,41
29:3,22,50
30:3,29,34
31:29,44,90
32:34,36,78
33:18,42,21
34:41,48,65
35:1,46,42
36:0,5,42
37:21,22,40
38:31,39,65
39:10,17,64
40:17,24,50
41:24,32,75
42:8,24,67
43:15,33,20
44:37,41,96
45:2,19,34
46:7,19,48
47:4,7,5
48:4,45,94
49:13,47,62
50:26,47,78
51:31,49,92
52:35,38,48
53:27,30,30
54:16,22,52
55:35,49,35
56:1,18,86
57:2,46,87
58:6,24,98
59:35,44,5
60:5,15,8
61:11,29,54
62:10,49,95
63:34,46,79
64:27,42,23
65:29,30,72
66:4,30,89
67:7,36,81
68:9,29,52
69:22,28,88
70:26,30,3
71:5,37,38
72:7,28,100
73:0,23,86
74:10,36,19
75:27,28,47
76:17,29,39
77:7,23,60
78:8,22,77
79:16,33,98
80:22,37,22
81:28,34,57
82:8,28,97
83:0,3,72
84:3,23,9
85:3,35,84
86:26,41,61
87:29,37,22
88:20,24,17
89:21,44,7
90:36,45,87
91:8,17,37
92:19,39,20
93:32,36,64
94:12,25,47
95:2,27,50
96:6,7,3
97:7,41,60
98:13,37,80
99:37,43,79
100:22,45,69
101:2,6,54
102:6,46,89
103:7,9,39
104:14,37,58
105:14,39,60
106:15,16,90
107:27,38,9
108:40,46,89
109:0,33,54
110:5,48,25
111:13,30,32
112:15,24,32
113:7,47,53
114:25,33,24
115:32,42,81
116:3,36,87
117:9,49,6
118:12,20,45
119:7,16,59
120:9,18,4
121:12,44,67
122:3,9,58
123:22,48,59
124:22,34,26
125:28,36,67
126:34,43,94
127:40,47,11
128:12,21,95
129:16,44,7
130:12,28,69
131:13,20,83
132:16,41,16
133:5,11,18
134:20,27,99
135:35,41,92
136:36,38,45
137:19,48,17
138:4,18,45
139:2,38,15
140:5,19,79
141:44,48,4
142:1,26,2
143:7,15,82
144:14,41,44
145:31,45,80
146:15,31,35
147:15,46,47
148:0,6,92
149:9,33,61
150:11,30,31
151:16,48,85
152:12,26,61
153:21,39,61
154:0,43,65
155:8,30,14
156:11,27,37
157:12,19,44
158:11,43,69
159:14,27,79
160:18,44,23
161:38,48,27
162:2,21,7
163:19,26,87
164:22,44,50
165:36,46,88
166:36,47,87
167:24,48,4
168:13,26,2
169:30,45,8
170:4,21,66
171:24,31,13
172:21,36,60
173:29,47,28
174:1,2,80
175:4,27,65
176:6,27,69
